
der er ventetid på serveren imens at klienten arbejder. Site4

 F.eks. gruppe 7 

time  Clientpower  Serverpower
385  61.083         2.05         1.90
386  61.285         2.05         1.90
387  61.484         2.05         1.90
388  61.684         2.05         1.90
389  61.885         2.20         1.90
390  62.083         2.20         1.90
391  62.284         2.20         1.90
392  62.484         2.40         1.90
393  62.686         2.40         1.90
394  62.885         2.40         1.90
395  63.086         2.40         1.90
396  63.285         2.25         1.90
397  63.486         2.25         2.45
398  63.683         2.25         2.45
399  63.881         2.05         2.45
400  64.086         2.05         2.45
401  64.283         2.05         2.30
402  64.484         2.05         2.30
403  64.681         2.45         2.30
404  64.885         2.45         2.30
405  65.083         2.45         2.30
406  65.283         2.05         2.30
407  65.484         2.05         2.30
408  65.683         2.05         2.30
409  65.885         2.05         2.30
410  66.083         1.85         2.30
411  66.281         1.85         2.30
412  66.484         1.85         2.30
413  66.681         1.85         2.30
414  66.884         1.85         2.30
415  67.084         1.85         2.30
416  67.283         1.85         2.30
417  67.484         2.05         2.30
418  67.684         2.05         2.30
419  67.885         2.05         2.30
420  68.083         2.05         2.30
421  68.284         2.05         2.30
422  68.485         2.05         2.30
423  68.684         2.05         2.30
424  68.885         2.35         2.30
425  69.085         2.35         1.90
426  69.285         2.35         1.90
427  69.485         2.05         1.90
428  69.685         2.05         1.90
429  69.885         2.05         1.90
430  70.085         2.05         1.90
431  70.283         2.05         1.90
432  70.482         2.05         1.90
433  70.682         2.05         1.90
434  70.884         2.15         1.90
435  71.085         2.15         1.90
436  71.280         2.15         1.90
437  71.485         2.15         1.90
438  71.685         2.05         1.90
439  71.884         2.05         1.90
440  72.081         2.05         1.90
