"index";"time";"minutes";"dateTime";"SPD33.CH1_Voltage";"SPD33.CH1_Current";"SPD33.CH1_Power";"SPD33.CH2_Voltage";"SPD33.CH2_Current";"SPD33.CH2_Power"
0;0,111;0,00185;1727965482,836;5;0,41;2,05;4,99;0,38;1,9
1;0,216;0,0036;1727965482,941;5;0,41;2,05;4,99;0,38;1,9
2;0,316;0,0052666667;1727965483,042;5;0,41;2,05;4,99;0,38;1,9
3;0,416;0,0069333333;1727965483,146;5;0,41;2,05;4,99;0,38;1,9
4;0,516;0,0086;1727965483,257;5;0,41;2,05;4,99;0,38;1,9
5;0,616;0,0102666667;1727965483,344;5;0,41;2,05;4,99;0,38;1,9
6;0,715;0,0119166667;1727965483,439;5;0,41;2,05;4,99;0,38;1,9
7;0,816;0,0136;1727965483,541;5;0,41;2,05;4,99;0,38;1,9
8;0,916;0,0152666667;1727965483,642;5;0,41;2,05;4,99;0,38;1,9
9;1,016;0,0169333333;1727965483,744;5;0,41;2,05;4,99;0,38;1,9
10;1,116;0,0186;1727965483,844;5;0,41;2,05;4,99;0,38;1,9
11;1,215;0,02025;1727965483,95;5;0,41;2,05;4,99;0,38;1,9
12;1,316;0,0219333333;1727965484,041;5;0,41;2,05;4,99;0,38;1,9
13;1,416;0,0236;1727965484,142;5;0,41;2,05;4,99;0,38;1,9
14;1,516;0,0252666667;1727965484,242;5;0,41;2,05;4,99;0,38;1,9
15;1,616;0,0269333333;1727965484,341;5;0,41;2,05;4,99;0,38;1,9
16;1,716;0,0286;1727965484,442;5;0,41;2,05;4,99;0,38;1,9
17;1,816;0,0302666667;1727965484,542;5;0,41;2,05;4,99;0,38;1,9
18;1,916;0,0319333333;1727965484,654;5;0,41;2,05;4,99;0,38;1,9
19;2,016;0,0336;1727965484,742;5;0,41;2,05;4,99;0,38;1,9
20;2,116;0,0352666667;1727965484,842;5;0,41;2,05;4,99;0,38;1,9
21;2,216;0,0369333333;1727965484,942;5;0,41;2,05;4,99;0,38;1,9
22;2,316;0,0386;1727965485,042;5;0,41;2,05;4,99;0,38;1,9
23;2,416;0,0402666667;1727965485,142;5;0,41;2,05;4,99;0,38;1,9
24;2,513;0,0418833333;1727965485,238;5;0,41;2,05;4,99;0,38;1,9
25;2,616;0,0436;1727965485,359;5;0,41;2,05;4,99;0,38;1,9
26;2,712;0,0452;1727965485,439;5;0,41;2,05;4,99;0,38;1,9
27;2,816;0,0469333333;1727965485,542;5;0,41;2,05;4,99;0,38;1,9
28;2,916;0,0486;1727965485,643;5;0,41;2,05;4,99;0,38;1,9
29;3,016;0,0502666667;1727965485,742;5;0,41;2,05;4,99;0,38;1,9
30;3,116;0,0519333333;1727965485,843;5;0,41;2,05;4,99;0,38;1,9
31;3,214;0,0535666667;1727965485,942;5;0,41;2,05;4,99;0,38;1,9
32;3,313;0,0552166667;1727965486,062;5;0,41;2,05;4,99;0,38;1,9
33;3,414;0,0569;1727965486,141;5;0,41;2,05;4,99;0,38;1,9
34;3,515;0,0585833333;1727965486,242;5;0,41;2,05;4,99;0,38;1,9
35;3,613;0,0602166667;1727965486,339;5;0,41;2,05;4,99;0,38;1,9
36;3,712;0,0618666667;1727965486,438;5;0,41;2,05;4,99;0,38;1,9
37;3,816;0,0636;1727965486,542;5;0,41;2,05;4,99;0,38;1,9
38;3,916;0,0652666667;1727965486,644;5;0,41;2,05;4,99;0,38;1,9
39;4,016;0,0669333333;1727965486,766;5;0,32;1,6;4,99;0,38;1,9
40;4,114;0,0685666667;1727965486,84;5;0,32;1,6;4,99;0,38;1,9
41;4,215;0,07025;1727965486,941;5;0,32;1,6;4,99;0,38;1,9
42;4,316;0,0719333333;1727965487,041;5;0,32;1,6;4,99;0,38;1,9
43;4,416;0,0736;1727965487,141;5;0,32;1,6;4,99;0,38;1,9
44;4,511;0,0751833333;1727965487,241;5;0,32;1,6;4,99;0,38;1,9
45;4,616;0,0769333333;1727965487,344;5;0,32;1,6;4,99;0,38;1,9
46;4,711;0,0785166667;1727965487,46;5;0,32;1,6;4,99;0,38;1,9
47;4,816;0,0802666667;1727965487,541;5;0,32;1,6;4,99;0,38;1,9
48;4,916;0,0819333333;1727965487,64;5;0,32;1,6;4,99;0,38;1,9
49;5,016;0,0836;1727965487,743;5;0,32;1,6;4,99;0,38;1,9
50;5,116;0,0852666667;1727965487,844;5;0,32;1,6;4,99;0,38;1,9
51;5,211;0,08685;1727965487,938;5;0,32;1,6;4,99;0,38;1,9
52;5,316;0,0886;1727965488,045;5;0,32;1,6;4,99;0,38;1,9
53;5,414;0,0902333333;1727965488,165;5;0,33;1,65;4,99;0,38;1,9
54;5,515;0,0919166667;1727965488,24;5;0,33;1,65;4,99;0,38;1,9
55;5,616;0,0936;1727965488,343;5;0,33;1,65;4,99;0,38;1,9
56;5,716;0,0952666667;1727965488,442;5;0,33;1,65;4,99;0,38;1,9
57;5,816;0,0969333333;1727965488,542;5;0,33;1,65;4,99;0,38;1,9
58;5,916;0,0986;1727965488,647;5;0,33;1,65;4,99;0,38;1,9
59;6,016;0,1002666667;1727965488,744;5;0,33;1,65;4,99;0,38;1,9
60;6,115;0,1019166667;1727965488,863;5;0,33;1,6;4,99;0,38;1,9
61;6,217;0,1036166667;1727965488,944;5;0,32;1,6;4,99;0,38;1,9
62;6,315;0,10525;1727965489,047;5;0,32;1,6;4,99;0,38;1,9
63;6,415;0,1069166667;1727965489,141;5;0,32;1,6;4,99;0,38;1,9
64;6,516;0,1086;1727965489,244;5;0,32;1,6;4,99;0,38;1,9
65;6,615;0,11025;1727965489,341;5;0,32;1,6;4,99;0,38;1,9
66;6,716;0,1119333333;1727965489,443;5;0,32;1,6;4,99;0,38;1,9
67;6,812;0,1135333333;1727965489,56;5;0,32;1,6;4,99;0,38;1,9
68;6,914;0,1152333333;1727965489,64;5;0,32;1,6;4,99;0,38;1,9
69;7,012;0,1168666667;1727965489,737;5;0,32;1,6;4,99;0,38;1,9
70;7,114;0,1185666667;1727965489,841;5;0,32;1,6;4,99;0,38;1,9
71;7,214;0,1202333333;1727965489,947;5;0,32;1,6;4,99;0,38;1,9
72;7,316;0,1219333333;1727965490,044;5;0,32;1,6;4,99;0,38;1,9
73;7,416;0,1236;1727965490,144;5;0,32;1,6;4,99;0,38;1,9
74;7,514;0,1252333333;1727965490,242;5;0,32;1,6;4,99;0,38;1,9
75;7,616;0,1269333333;1727965490,343;5;0,33;1,65;4,99;0,38;1,9
76;7,714;0,1285666667;1727965490,442;5;0,33;1,65;4,99;0,38;1,9
77;7,814;0,1302333333;1727965490,542;5;0,33;1,65;4,99;0,38;1,9
78;7,916;0,1319333333;1727965490,653;5;0,33;1,65;4,99;0,38;1,9
79;8,016;0,1336;1727965490,746;5;0,33;1,65;4,99;0,38;1,9
80;8,117;0,1352833333;1727965490,842;5;0,33;1,65;4,99;0,38;1,9
81;8,213;0,1368833333;1727965490,938;5;0,33;1,65;4,99;0,38;1,9
82;8,315;0,1385833333;1727965491,04;5;0,32;1,6;4,99;0,38;1,9
83;8,416;0,1402666667;1727965491,145;5;0,32;1,6;4,99;0,38;1,9
84;8,516;0,1419333333;1727965491,245;5;0,32;1,6;4,99;0,38;1,9
85;8,617;0,1436166667;1727965491,358;5;0,32;1,6;4,99;0,38;1,9
86;8,715;0,14525;1727965491,443;5;0,32;1,6;4,99;0,38;1,9
87;8,811;0,14685;1727965491,539;5;0,32;1,6;4,99;0,38;1,9
88;8,916;0,1486;1727965491,645;5;0,32;1,6;4,99;0,38;1,9
89;9,016;0,1502666667;1727965491,742;5;0,32;1,6;4,99;0,38;1,9
90;9,116;0,1519333333;1727965491,842;5;0,32;1,6;4,99;0,38;1,9
91;9,216;0,1536;1727965491,944;5;0,32;1,6;4,99;0,38;1,9
92;9,316;0,1552666667;1727965492,057;5;0,32;1,6;4,99;0,38;1,9
93;9,415;0,1569166667;1727965492,143;5;0,32;1,6;4,99;0,38;1,9
94;9,514;0,1585666667;1727965492,244;5;0,32;1,6;4,99;0,38;1,9
95;9,613;0,1602166667;1727965492,339;5;0,32;1,6;4,99;0,38;1,9
96;9,716;0,1619333333;1727965492,444;5;0,32;1,6;4,99;0,38;1,9
97;9,815;0,1635833333;1727965492,543;5;0,32;1,6;4,99;0,38;1,9
98;9,915;0,16525;1727965492,641;5;0,32;1,6;4,99;0,38;1,9
99;10,012;0,1668666667;1727965492,761;5;0,32;1,6;4,99;0,38;1,9
100;10,115;0,1685833333;1727965492,841;5;0,32;1,6;4,99;0,38;1,9
101;10,216;0,1702666667;1727965492,944;5;0,32;1,6;4,99;0,38;1,9
102;10,316;0,1719333333;1727965493,044;5;0,32;1,6;4,99;0,38;1,9
103;10,412;0,1735333333;1727965493,139;5;0,32;1,6;4,99;0,38;1,9
104;10,515;0,17525;1727965493,242;5;0,32;1,6;4,99;0,38;1,9
105;10,615;0,1769166667;1727965493,342;5;0,32;1,6;4,99;0,38;1,9
106;10,716;0,1786;1727965493,463;5;0,32;1,6;4,99;0,38;1,9
107;10,814;0,1802333333;1727965493,54;5;0,32;1,6;4,99;0,38;1,9
108;10,916;0,1819333333;1727965493,645;5;0,32;1,6;4,99;0,38;1,9
109;11,013;0,18355;1727965493,738;5;0,32;1,6;4,99;0,38;1,9
110;11,115;0,18525;1727965493,844;5;0,32;1,6;4,99;0,38;1,9
111;11,211;0,18685;1727965493,939;5;0,32;1,6;4,99;0,38;1,9
112;11,314;0,1885666667;1727965494,043;5;0,32;1,6;4,99;0,38;1,9
113;11,414;0,1902333333;1727965494,158;5;0,32;1,6;4,99;0,38;1,9
114;11,512;0,1918666667;1727965494,238;5;0,32;1,6;4,99;0,38;1,9
115;11,613;0,19355;1727965494,341;5;0,32;1,6;4,99;0,38;1,9
116;11,714;0,1952333333;1727965494,444;5;0,32;1,6;4,99;0,38;1,9
117;11,816;0,1969333333;1727965494,542;5;0,54;2,7;4,99;0,38;1,9
118;11,916;0,1986;1727965494,643;5;0,54;2,7;4,99;0,38;1,9
119;12,016;0,2002666667;1727965494,741;5;0,54;2,7;4,99;0,38;1,9
120;12,115;0,2019166667;1727965494,84;5;0,54;2,7;4,99;0,38;1,9
121;12,216;0,2036;1727965494,945;5;0,54;2,7;4,99;0,38;1,9
122;12,311;0,2051833333;1727965495,039;5;0,54;2,7;4,99;0,38;1,9
123;12,414;0,2069;1727965495,14;5;0,54;2,7;4,99;0,38;1,9
124;12,516;0,2086;1727965495,257;5;0,75;3,75;4,99;0,38;1,9
125;12,614;0,2102333333;1727965495,338;5;0,75;3,75;4,99;0,38;1,9
126;12,716;0,2119333333;1727965495,443;5;0,75;3,75;4,99;0,38;1,9
127;12,816;0,2136;1727965495,542;5;0,75;3,75;4,99;0,38;1,9
128;12,914;0,2152333333;1727965495,64;5;0,75;3,75;4,99;0,38;1,9
129;13,015;0,2169166667;1727965495,74;5;0,75;3,75;4,99;0,38;1,9
130;13,116;0,2186;1727965495,846;5;0,75;3,75;4,99;0,38;1,9
131;13,213;0,2202166667;1727965495,959;5;0,41;2,05;4,99;0,38;1,9
132;13,316;0,2219333333;1727965496,041;5;0,41;2,05;4,99;0,38;1,9
133;13,416;0,2236;1727965496,141;5;0,41;2,05;4,99;0,38;1,9
134;13,516;0,2252666667;1727965496,241;5;0,41;2,05;4,99;0,38;1,9
135;13,616;0,2269333333;1727965496,346;5;0,41;2,05;4,99;0,38;1,9
136;13,716;0,2286;1727965496,44;5;0,41;2,05;4,99;0,38;1,9
137;13,813;0,2302166667;1727965496,539;5;0,41;2,05;4,99;0,38;1,9
138;13,916;0,2319333333;1727965496,65;5;0,41;2,05;4,99;0,38;1,9
139;14,015;0,2335833333;1727965496,744;5;0,41;2,05;4,99;0,38;1,9
140;14,116;0,2352666667;1727965496,843;5;0,41;2,05;4,99;0,38;1,9
141;14,216;0,2369333333;1727965496,948;5;0,41;2,05;4,99;0,38;1,9
142;14,311;0,2385166667;1727965497,038;5;0,41;2,05;4,99;0,38;1,9
143;14,416;0,2402666667;1727965497,142;5;0,41;2,05;4,99;0,38;1,9
144;14,512;0,2418666667;1727965497,239;5;0,41;2,05;4,99;0,38;1,9
145;14,616;0,2436;1727965497,356;5;0,41;2,05;4,99;0,38;1,9
146;14,716;0,2452666667;1727965497,443;5;0,41;2,05;4,99;0,38;1,9
147;14,815;0,2469166667;1727965497,541;5;0,41;2,05;4,99;0,38;1,9
148;14,915;0,2485833333;1727965497,643;5;0,41;2,05;4,99;0,38;1,9
149;15,016;0,2502666667;1727965497,741;5;0,41;2,05;4,99;0,38;1,9
150;15,115;0,2519166667;1727965497,84;5;0,41;2,05;4,99;0,38;1,9
151;15,217;0,2536166667;1727965497,945;5;0,41;2,05;4,99;0,38;1,9
152;15,316;0,2552666667;1727965498,061;5;0,41;2,05;4,99;0,38;1,9
153;15,413;0,2568833333;1727965498,14;5;0,41;2,05;4,99;0,38;1,9
154;15,512;0,2585333333;1727965498,236;5;0,41;2,05;4,99;0,38;1,9
155;15,616;0,2602666667;1727965498,343;5;0,41;2,05;4,99;0,38;1,9
156;15,712;0,2618666667;1727965498,439;5;0,41;2,05;4,99;0,38;1,9
157;15,815;0,2635833333;1727965498,542;5;0,41;2,05;4,99;0,38;1,9
158;15,914;0,2652333333;1727965498,64;5;0,41;2,05;4,99;0,38;1,9
159;16,015;0,2669166667;1727965498,762;5;0,41;2,05;4,99;0,38;1,9
160;16,116;0,2686;1727965498,842;5;0,41;2,05;4,99;0,38;1,9
161;16,214;0,2702333333;1727965498,941;5;0,41;2,05;4,99;0,38;1,9
162;16,316;0,2719333333;1727965499,043;5;0,41;2,05;4,99;0,38;1,9
163;16,416;0,2736;1727965499,145;5;0,41;2,05;4,99;0,38;1,9
164;16,514;0,2752333333;1727965499,243;5;0,41;2,05;4,99;0,38;1,9
165;16,612;0,2768666667;1727965499,34;5;0,41;2,05;4,99;0,38;1,9
166;16,712;0,2785333333;1727965499,46;5;0,33;1,65;4,99;0,38;1,9
167;16,814;0,2802333333;1727965499,541;5;0,33;1,65;4,99;0,38;1,9
168;16,916;0,2819333333;1727965499,643;5;0,33;1,65;4,99;0,38;1,9
169;17,012;0,2835333333;1727965499,74;5;0,33;1,65;4,99;0,38;1,9
170;17,112;0,2852;1727965499,841;5;0,33;1,65;4,99;0,38;1,9
